(oui, si)
(non, no)
(maison, casa)
(devoirs, tarea)
(femme, mujer)
(chien, perro)
(ville, pueblo)
(homme, hombre)
(enfant, niño)
(voiture, carro)
(livre, libro)
(eau, agua)
(pain, pan)
(chat, gato)
(oiseau, pájaro)
(arbre, árbol)
(fleur, flor)
(soleil, sol)
(lune, luna)
(étoile, estrella)
(ciel, cielo)
(mer, mar)
(rivière, río)
(montagne, montaña)
(forêt, bosque)
(route, camino)
(pont, puente)
(porte, puerta)
(fenêtre, ventana)
(table, mesa)
(chaise, silla)
(lit, cama)
(chambre, cuarto)
(cuisine, cocina)
(salle, sala)
(jardin, jardín)
(école, escuela)
(université, universidad)
(professeur, profesor)
(étudiant, estudiante)
(classe, clase)
(cahier, cuaderno)
(stylo, pluma)
(crayon, lápiz)
(règle, regla)
(sac, bolsa)
(ami, amigo)
(amie, amiga)
(famille, familia)
(mère, madre)
(père, padre)
(frère, hermano)
(sœur, hermana)
(grand-père, abuelo)
(grand-mère, abuela)
(oncle, tío)
(tante, tía)
(cousin, primo)
(cousine, prima)
(bébé, bebé)
(fille, niña)
(garçon, chico)
(travail, trabajo)
(bureau, oficina)
(médecin, médico)
(hôpital, hospital)
(pharmacie, farmacia)
(marché, mercado)
(magasin, tienda)
(restaurant, restaurante)
(hôtel, hotel)
(aéroport, aeropuerto)
(gare, estación)
(banque, banco)
(musée, museo)
(bibliothèque, biblioteca)
(église, iglesia)
(parc, parque)
(plage, playa)
(piscine, piscina)
(sport, deporte)
(football, fútbol)
(tennis, tenis)
(natation, natación)
(musique, música)
(chanson, canción)
(film, película)
(livre, libro)
(journal, periódico)
(télévision, televisión)
(ordinateur, computadora)
(téléphone, teléfono)
(internet, internet)
(message, mensaje)
(lettre, carta)
(nourriture, comida)
(viande, carne)
(poisson, pescado)
(légume, verdura)
(fruit, fruta)
(pomme, manzana)
(orange, naranja)
(banane, banana)
(raisin, uva)
(fraise, fresa)
(tomate, tomate)
(carotte, zanahoria)
(oignon, cebolla)
(ail, ajo)
(riz, arroz)
(pâtes, pasta)
(soupe, sopa)
(fromage, queso)
(lait, leche)
(beurre, mantequilla)
(œuf, huevo)
(sucre, azúcar)
(sel, sal)
(café, café)
(thé, té)
(jus, jugo)
(vin, vino)
(bière, cerveza)
(verre, vaso)
(assiette, plato)
(fourchette, tenedor)
(couteau, cuchillo)
(cuillère, cuchara)
(serviette, servilleta)
(rouge, rojo)
(bleu, azul)
(vert, verde)
(jaune, amarillo)
(blanc, blanco)
(noir, negro)
(gris, gris)
(rose, rosado)
(orange, anaranjado)
(violet, morado)
(grand, grande)
(petit, pequeño)
(long, largo)
(court, corto)
(haut, alto)
(bas, bajo)
(large, ancho)
(étroit, estrecho)
(vieux, viejo)
(jeune, joven)
(beau, bonito)
(laid, feo)
(bon, bueno)
(mauvais, malo)
(chaud, caliente)
(froid, frío)
(rapide, rápido)
(lent, lento)
(facile, fácil)
(difficile, difícil)
(proche, cercano)
(loin, lejos)
(heureux, feliz)
(triste, triste)
(fatigué, cansado)
(malade, enfermo)
(fort, fuerte)
(faible, débil)
(propre, limpio)
(sale, sucio)
(ouvert, abierto)
(fermé, cerrado)
(plein, lleno)
(vide, vacío)
(nouveau, nuevo)
(premier, primero)
(dernier, último)
(seul, solo)
(ensemble, juntos)
(ici, aquí)
(là, allá)
(maintenant, ahora)
(demain, mañana)
(hier, ayer)
(aujourd, hoy)
(toujours, siempre)
(jamais, nunca)
(souvent, frecuentemente)
(parfois, a veces)
(beaucoup, mucho)
(peu, poco)
(très, muy)
(assez, bastante)
(trop, demasiado)
(aussi, también)
(encore, todavía)
(déjà, ya)
(seulement, solamente)
(peut-être, quizás)
(bien, bien)
(mal, mal)
(vite, rápido)
(lentement, despacio)
(ensemble, juntos)
(bonjour, buenos días)
(bonsoir, buenas noches)
(merci, gracias)
(pardon, perdón)
(comment, cómo)
(pourquoi, por qué)
(quand, cuándo)
(où, dónde)
(qui, quién)
(quoi, qué)
(combien, cuánto)
(quel, cuál)
(parler, hablar)
(écouter, escuchar)
(lire, leer)
(écrire, escribir)
(manger, comer)
(boire, beber)
(dormir, dormir)
(courir, correr)
(marcher, caminar)
(regarder, mirar)
(voir, ver)
(entendre, oír)
(savoir, saber)
(pouvoir, poder)
(vouloir, querer)
(devoir, deber)
(aller, ir)
(venir, venir)
(faire, hacer)
(dire, decir)
(donner, dar)
(prendre, tomar)
(mettre, poner)
(trouver, encontrar)
(chercher, buscar)
(aimer, amar)
(détester, odiar)
(habiter, vivir)
(travailler, trabajar)
(étudier, estudiar)
(jouer, jugar)
(chanter, cantar)
(danser, bailar)
(rire, reír)
(pleurer, llorar)
(penser, pensar)
(croire, creer)
(comprendre, entender)
(apprendre, aprender)
(enseigner, enseñar)
(aider, ayudar)
(répondre, responder)
(demander, preguntar)
(acheter, comprar)
(vendre, vender)
(payer, pagar)
(ouvrir, abrir)
(fermer, cerrar)
(commencer, comenzar)
(finir, terminar)
(attendre, esperar)
(arriver, llegar)
(partir, salir)
(entrer, entrar)
(sortir, salir)
(monter, subir)
(descendre, bajar)
(tomber, caer)
(lever, levantar)
(coucher, acostar)
(asseoir, sentar)
